UNIQUE_ID,Date,Company,CapitalIQ_ID,ISIN,Ticker,Total_ESG_Score,Governance_Score,Social_Score,Environment_Score
100890046943374,20181001,Ford Motor Credit Co. LLC,,SUSTDF1936AE,,61.09,60.78,74.39,52.4
100931473643374,20181001,Investitionsbank Berlin,,DE000A0KPR95,,46.06,43.37,55.37,39.5
101335592143374,20181001,"Heungkuk Life Insurance Co., Ltd.",,SUSTC72ECAED,,46.23,64.33,45.38,34.29
101889439443374,20181001,Ras Laffan Liquefied Natural Gas Co. Ltd. (II),,USM8221WAA91,,56.27,53.04,50.31,65.38
102081025043374,20181001,Compass Group International BV,,XS1637093508,,67.07,72.75,62.7,67.34
102838400143374,20181001,Metro Finance B.V.,,XS0731104591,,71.76,68.65,76.41,68.68
103049332043374,20181001,Hamburgische Investitions- und Förderbank,,DE000A1X3JM6,,49.05,40.46,59.27,49
103299649943374,20181001,Gas Natural de Lima y Callao SAC,,USP47113AA63,,61.49,79.45,66.07,48.44
112377768943374,20181001,Continental Senior Trustees (Cayman) Ltd.,,USG2523RAA52,,64.26,57.43,68.99,67.83
113575614543374,20181001,CNH Industrial Finance Europe SA,,XS1114452060,,85.16,83.29,83.44,87.83
113756762743374,20181001,CNPC (HK) Overseas Capital Ltd.,,USG21895AB60,,41.12,45.68,38.2,41.19
113880653543374,20181001,Royal Capital BV,,SUST1850331A,,49.53,65.45,46.62,41.49
121253829643374,20181001,CNOOC Finance (2012) Ltd.,,USG23530AA92,,55.18,62.26,61.67,42.69
122519222743374,20181001,Steel Funding DAC,,XS1405775617,,66.08,56.45,64.72,74.52
123181941843374,20181001,China Overseas Finance (Cayman) V Ltd.,,XS0852986156,,56.76,48.15,59.79,60.94
123249930243374,20181001,Altice Finco SA,,XS1577952440,,44.57,61.18,36.55,43.98
123386371443374,20181001,ICTSI Treasury BV,,XS0972298300,,49.53,65.45,46.62,41.49
123399377043374,20181001,Champion MTN Ltd.,,XS0875871690,,79.26,64.9,76.04,92.44
123985212243374,20181001,AES El Salvador Trust II,,USP06076AA49,,63.87,69.59,73.34,54.37
124145686443374,20181001,TBG Global Pte Ltd.,,XS1165340883,,50.65,54.3,50.43,47.92
124543157943374,20181001,CNOOC Finance 2013 Ltd.,,US12625GAC87,,55.18,62.26,61.67,42.69
126143707143374,20181001,Towngas Finance Ltd.,,XS1022151416,,65.68,66.2,75.01,59.18
127000331343374,20181001,AYC Finance Ltd.,,XS1056384420,,62.55,61.12,69.65,56.78
127066648443374,20181001,China Cinda Finance (2014) Ltd.,,USG2117CAB84,,45.98,47.56,52.83,36.68
127202854643374,20181001,Goodman HK Finance,,XS1078750004,,54.64,64.06,45.42,54.48
128002360343374,20181001,Emirates NBD 2014 Tier 1 Ltd.,,XS1111114135,,52.65,49.54,68.86,39.25
128984898643374,20181001,"Mylan, Inc.",,SUSTD4A8A145,,52.73,49.22,46.8,67.64
133652904843374,20181001,Gth Finance B.V.,,XS1400710726,,48.89,58.5,45.19,46.42
134271772843374,20181001,Diamond 1 Finance Corporation,,US25272KAK97,,77.98,55.69,83.37,87.2
143069067443374,20181001,UBS Group Funding (Switzerland) AG,,SUST47C21920,,73.99,67.25,69.7,87.08
143770883043374,20181001,CK Hutchison Capital Securities (17) Ltd.,,SUST4E02A49B,,43.77,51.6,42.19,40.24
154165559643374,20181001,Potash Corporation of Saskatchewan Inc.,,US73755LAL18,,54.54,59.67,51.71,53.8
154651064743374,20181001,CK Hutchison International (17) Ltd.,,USG2178XAA03,,43.77,51.6,42.19,40.24
200001876743374,20181001,Royal Ahold NV,,SUST3A8E3F1B,,71.81,80.68,67.17,70.77
200007705343374,20181001,Toyota Finance Australia Ltd.,,XS1624346083,,64.39,49.03,64.17,73.06
200015895843374,20181001,CEMIG Geração e Transmissão SA,,USP2205LAC92,,75.09,74.2,75.42,75.37
200019476443374,20181001,Teva Pharmaceutical Finance IV LLC,,US88166HAD98,,60.79,64.42,51.23,73.63
200048980243374,20181001,Morgan Stanley & Co. LLC,,XS1467392707,,61.87,49.99,59.58,79.33
200049948043374,20181001,Hana Bank,,SUST4E654DCF,,54.48,52.13,62.61,48.75
200049966643374,20181001,Wing Lung Bank Ltd.,,XS1716657876,,51.82,51,60.64,43.42
200049970043374,20181001,CITIC International Financial Holdings Ltd.,,XS0985263150,,54.95,45.94,68.15,52.25
200049997343374,20181001,Daegu Bank Ltd.,,XS1761537841,,62.69,59.93,67.06,61.5
200050708443374,20181001,Danica Pension Livsforsikrings A/S,,XS1117286580,,75.47,66.2,79.79,82.58
200053087043374,20181001,"SK E&S Co., Ltd.",,KR6056551742,,47.1,58.6,39.65,46.44
200058183343374,20181001,National Bank of Abu Dhabi,,XS1546411650,,58.02,58.78,75.14,38.75
200065707743374,20181001,Banco Santander SA (Old),,SUST8BEC5D4E,,70.06,62.87,73.4,75.58
200072045243374,20181001,Bolsa de Mercadorias & Futuros,,USP1728MAA10,,72.46,80.16,66.74,68.84
200077019643374,20181001,AmBank (M) Bhd.,,XS1083308301,,49.06,38.54,68.68,41.42
200078558643374,20181001,"Korea Midland Power Co., Ltd.",,SUST961FBBB8,,64,58.2,70.22,63.08
200078880843374,20181001,Deutsche Finance Netherlands BV,,SUSTD56219F8,,63.68,56.82,65.35,70.58
200079108443374,20181001,Hutchison Whampoa Finance (CI) Ltd.,,USG46715AC56,,43.77,51.6,42.19,40.24
200079221243374,20181001,ASR Nederland NV (Investment Company),,XS1293505639,,64.71,78.11,62.09,50.5
200079297143374,20181001,CNOOC Finance 2003 Ltd.,,USG21886AB53,,55.18,62.26,61.67,42.69
200079906343374,20181001,Cheung Kong Infrastructure Finance BVI Ltd.,,XS1733226747,,50.96,49.1,52.13,51.22
200082979343374,20181001,Perú LNG SRL,,USP7721BAE13,,74.9,80.14,88.31,55.82
200091190543374,20181001,Telefónica Celular del Paraguay SA,,USP90475AA57,,71.5,75.99,67.56,73.66
200092078843374,20181001,Consorcio Transmantaro SA,,USP3083SAC90,,64.8,77.4,61.48,60
200094432543374,20181001,MetLife Global Funding,,XS1110874820,,61.17,55.62,63.78,65.42
200095295143374,20181001,CapitaLand Treasury Ltd.,,XS0831700421,,76.14,67.98,66.33,89.63
200096922343374,20181001,Alpha Gas & Electric LLC,,US69783TAA25,,70.74,83.98,74.56,56.92
200097653143374,20181001,Bank of Communications (Hong Kong Branch),,XS1567332884,,52.56,42.76,63.2,53.58
200100312143374,20181001,Shanghai Electric Finance Co.,,XS1262584532,,47.92,51.79,48.04,45.39
200102144143374,20181001,"Nakilat, Inc.",,USY62014AA64,,63.69,56.85,72.38,58.64
200104775943374,20181001,RTE Reseau De Transport D'Electricite,,FR0013060209,,83.31,79.29,85.42,84.13
200117883243374,20181001,VIP Finance Ireland Ltd.,,XS0587031096,,54.07,61.65,52.46,50.17
200128159243374,20181001,Exor SpA,,SUSTCB0A152A,,50.32,49.63,63.88,36.72
200130072843374,20181001,Volkswagen Leasing SA de CV,,XS1014610254,,58.72,44.25,61.76,64.72
200158155243374,20181001,Sanofi SA,,FR0013324357,,71.27,66,73.81,73.01
200159567343374,20181001,Sberbank Capital LLC,,XS0799357354,,57.81,56.46,72.97,43.33
200160105843374,20181001,China Construction Bank Corp. (Hong Kong),,XS1622512793,,50.91,47.43,57.91,47.83
200161001643374,20181001,CSN Islands XI Corp.,,USG2583XAA93,,43.73,53.9,38.93,41.97
200161634243374,20181001,Hutchison Whampoa International (09/19) Ltd.,,USG4671AAA81,,43.77,51.6,42.19,40.24
200244196943374,20181001,ACS Servicios Comunicaciones y Energía SL,,SUST5BE8DADC,,68.78,64.17,75.84,63.97
200252769143374,20181001,Santander Consumer (UK) Plc,,SUST859012CB,,70.06,62.87,73.4,75.58
200268215943374,20181001,Fita International Ltd.,,XS0485770670,,67.66,61.98,69.74,70.36
200268840143374,20181001,Hong Kong Electric Finance Ltd.,,XS0565475505,,53.92,59.1,52.8,51.78
200272848143374,20181001,Axiata SPV1 (Labuan) Ltd.,,XS0504981746,,59.53,74.8,51.22,59.25
200275257143374,20181001,Itaú Unibanco Holding SA (Cayman Islands),,US46556MAB81,,71.07,66.36,74.55,73.33
200281533043374,20181001,Richemont International Holding S.A.,,XS1789751531,,81.16,78.19,84.94,78.95
200282793943374,20181001,Industrial & Commercial Bank of China (Macau) Ltd.,,XS1105630518,,49.74,43.09,56.04,51.42
200283428543374,20181001,Transportadora de Gas Internacional SA ESP,,USP93077AA61,,61.49,79.45,66.07,48.44
200284788243374,20181001,PCCW-HKT Capital No. 4 Ltd.,,XS0766460157,,52.17,56.2,45.79,58.38
200285506243374,20181001,Empresa Eléctrica Angamos SA,,USP3713QAA50,,65.04,72,69.15,58.44
