Stocks holdings ,,,,,,,,,
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of funds*,Sector,Market,Security depository receipt type
,BP41ZD1,BABA,Alibaba Group Holding Ltd.,28067526,"$5,953,122,264.60 ",1.387395877,Internet & Direct Marketing Retail,KY,ADR
,7123870,NESN,Nestle SA,46664130,"$5,052,104,731.36 ",1.177410603,Packaged Foods & Meats,CH,---
,BMMV2K8,700,Tencent Holdings Ltd.,92136781,"$4,438,796,082.85 ",1.034476887,Interactive Media & Services,KY,---
,6889106,2330,Taiwan Semiconductor Manufacturing Co. Ltd.,387530768,"$4,289,124,564.20 ",0.999595418,Semiconductors,TW,---
,6771720,5930,Samsung Electronics Co. Ltd.,75820436,"$3,653,550,360.18 ",0.851472636,"Technology Hardware, Storage & Periphera",KR,---
,7110388,ROG,Roche Holding AG,11163539,"$3,628,181,607.78 ",0.84556036,Pharmaceuticals,CH,---
,7103065,NOVN,Novartis AG,33978516,"$3,217,412,375.82 ",0.74982916,Pharmaceuticals,CH,---
,6900643,7203,Toyota Motor Corp.,39654744,"$2,794,133,133.37 ",0.651182458,Automobile Manufacturers,JP,---
,540528,HSBA,HSBC Holdings plc,327007328,"$2,559,975,208.25 ",0.596611138,Diversified Banks,GB,---
,B15C557,FP,TOTAL SA,38897823,"$2,158,469,847.01 ",0.503038915,Integrated Oil & Gas,FR,---
,989529,AZN,AstraZeneca plc,21200400,"$2,122,003,124.63 ",0.494540219,Pharmaceuticals,GB,---
,4846288,SAP,SAP SE,15636115,"$2,104,603,247.52 ",0.490485117,Application Software,DE,---
,B03MLX2,RDSA,Royal Dutch Shell plc,69414478,"$2,055,669,441.69 ",0.479080923,Integrated Oil & Gas,GB,---
,B4TX8S1,1299,AIA Group Ltd.,195337902,"$2,054,557,502.45 ",0.478821782,Life & Health Insurance,HK,---
,798059,BP.,BP plc,321553548,"$2,022,844,541.55 ",0.471430966,Integrated Oil & Gas,GB,---
,B929F46,ASML,ASML Holding NV,6458077,"$1,911,964,700.90 ",0.445590033,Semiconductor Equipment,NL,---
,4061412,MC,LVMH Moet Hennessy Louis Vuitton SE,4017791,"$1,872,113,812.92 ",0.436302644,"Apparel, Accessories & Luxury Goods",FR,---
,925288,GSK,GlaxoSmithKline plc,79141679,"$1,859,607,708 ",0.433388053,Pharmaceuticals,GB,---
,2754383,RY,Royal Bank of Canada,23312431,"$1,844,636,159.76 ",0.429898882,Diversified Banks,CA,---
,5671735,SAN,Sanofi,17498520,"$1,757,339,802.78 ",0.409554161,Pharmaceuticals,FR,---
,B03MM40,RDSB,Royal Dutch Shell plc Class B,58322284,"$1,731,231,288.90 ",0.403469481,Integrated Oil & Gas,GB,---
,2897222,TD,TORONTO-DOMINION BANK,29364236,"$1,646,911,792.29 ",0.383818529,Diversified Banks,CA,---
,5231485,ALV,Allianz SE,6693370,"$1,640,068,929.60 ",0.382223776,Multi-line Insurance,DE,---
,6215035,CBA,Commonwealth Bank of Australia,28610731,"$1,605,009,688.01 ",0.374053098,Diversified Banks,AU,---
