industry,company,ticker
Advertising,"ChinaNet Online Holdings, Inc. (NasdaqCM:CNET)",CNET
Advertising,Perion Network Ltd. (NasdaqGS:PERI),PERI
Advertising,"Harte Hanks, Inc. (NYSE:HHS)",HHS
Advertising,"comScore, Inc. (NasdaqGS:SCOR)",SCOR
Advertising,MDC Partners Inc. (NasdaqGS:MDCA),MDCA
Advertising,"Creative Realities, Inc. (NasdaqCM:CREX)",CREX
Advertising,"Xcel Brands, Inc. (NasdaqGM:XELB)",XELB
Advertising,"Insignia Systems, Inc. (NasdaqCM:ISIG)",ISIG
Advertising,"Clear Channel Outdoor Holdings, Inc. (NYSE:CCO)",CCO
Advertising,"SRAX, Inc. (NasdaqCM:SRAX)",SRAX
Advertising,"National CineMedia, Inc. (NasdaqGS:NCMI)",NCMI
Advertising,"Marchex, Inc. (NasdaqGS:MCHX)",MCHX
Advertising,"SPAR Group, Inc. (NasdaqCM:SGRP)",SGRP
Advertising,Omnicom Group Inc. (NYSE:OMC),OMC
Advertising,"The Interpublic Group of Companies, Inc. (NYSE:IPG)",IPG
Advertising,"TechTarget, Inc. (NasdaqGM:TTGT)",TTGT
Advertising,"Cardlytics, Inc. (NasdaqGM:CDLX)",CDLX
Advertising,"Fluent, Inc. (NasdaqGM:FLNT)",FLNT
Advertising,Boston Omaha Corporation (NasdaqCM:BOMN),BOMN
Advertising,"Emerald Expositions Events, Inc. (NYSE:EEX)",EEX
Aerospace/Defense,TAT Technologies Ltd. (NasdaqGM:TATT),TATT
Aerospace/Defense,RADA Electronic Industries Ltd. (NasdaqCM:RADA),RADA
Aerospace/Defense,"Sigma Labs, Inc. (NasdaqCM:SGLB)",SGLB
Aerospace/Defense,Astrotech Corporation (NasdaqCM:ASTC),ASTC
Aerospace/Defense,"MICT, Inc. (NasdaqCM:MICT)",MICT
Aerospace/Defense,"Triumph Group, Inc. (NYSE:TGI)",TGI
Aerospace/Defense,Park Aerospace Corp. (NYSE:PKE),PKE
Aerospace/Defense,Astronics Corporation (NasdaqGS:ATRO),ATRO
Aerospace/Defense,"Wesco Aircraft Holdings, Inc. (NYSE:WAIR)",WAIR
Aerospace/Defense,Textron Inc. (NYSE:TXT),TXT
Aerospace/Defense,Moog Inc. (NYSE:MOG.A),MOG.A
Aerospace/Defense,Cubic Corporation (NYSE:CUB),CUB
Aerospace/Defense,General Dynamics Corporation (NYSE:GD),GD
Aerospace/Defense,United Technologies Corporation (NYSE:UTX),UTX
Aerospace/Defense,"National Presto Industries, Inc. (NYSE:NPK)",NPK
Aerospace/Defense,AAR Corp. (NYSE:AIR),AIR
Aerospace/Defense,"Spirit AeroSystems Holdings, Inc. (NYSE:SPR)",SPR
Aerospace/Defense,Hexcel Corporation (NYSE:HXL),HXL
Aerospace/Defense,"VirTra, Inc. (NasdaqCM:VTSI)",VTSI
Aerospace/Defense,"Vectrus, Inc. (NYSE:VEC)",VEC
Aerospace/Defense,"Innovative Solutions and Support, Inc. (NasdaqGS:ISSC)",ISSC
Aerospace/Defense,Curtiss-Wright Corporation (NYSE:CW),CW
Aerospace/Defense,Ducommun Incorporated (NYSE:DCO),DCO
Aerospace/Defense,Raytheon Company (NYSE:RTN),RTN
Aerospace/Defense,Lockheed Martin Corporation (NYSE:LMT),LMT
Aerospace/Defense,"BWX Technologies, Inc. (NYSE:BWXT)",BWXT
Aerospace/Defense,"Huntington Ingalls Industries, Inc. (NYSE:HII)",HII
Aerospace/Defense,"AeroVironment, Inc. (NasdaqGS:AVAV)",AVAV
Aerospace/Defense,Northrop Grumman Corporation (NYSE:NOC),NOC
Aerospace/Defense,"Aerojet Rocketdyne Holdings, Inc. (NYSE:AJRD)",AJRD
Aerospace/Defense,The Boeing Company (NYSE:BA),BA
Aerospace/Defense,"Axon Enterprise, Inc. (NasdaqGS:AAXN)",AAXN
Aerospace/Defense,"L3Harris Technologies, Inc. (NYSE:LHX)",LHX
Aerospace/Defense,TransDigm Group Incorporated (NYSE:TDG),TDG
Aerospace/Defense,Teledyne Technologies Incorporated (NYSE:TDY),TDY
Aerospace/Defense,"Kratos Defense & Security Solutions, Inc. (NasdaqGS:KTOS)",KTOS
Aerospace/Defense,HEICO Corporation (NYSE:HEI),HEI
Aerospace/Defense,"Mercury Systems, Inc. (NasdaqGS:MRCY)",MRCY
Aerospace/Defense,"Virgin Galactic Holdings, Inc. (NYSE:SPCE)",SPCE
Aerospace/Defense,Parsons Corporation (NYSE:PSN),PSN
Aerospace/Defense,Maxar Technologies Inc. (NYSE:MAXR),MAXR
Aerospace/Defense,Arconic Inc. (NYSE:ARNC),ARNC
Air Transport,Ryanair Holdings plc (ISE:RY4C),RY4C
Air Transport,Corporación América Airports S.A. (NYSE:CAAP),CAAP
Air Transport,"Copa Holdings, S.A. (NYSE:CPA)",CPA
Air Transport,"Spirit Airlines, Inc. (NYSE:SAVE)",SAVE
Air Transport,American Airlines Group Inc. (NasdaqGS:AAL),AAL
Air Transport,Macquarie Infrastructure Corporation (NYSE:MIC),MIC
Air Transport,"Hawaiian Holdings, Inc. (NasdaqGS:HA)",HA
Air Transport,"Alaska Air Group, Inc. (NYSE:ALK)",ALK
Air Transport,JetBlue Airways Corporation (NasdaqGS:JBLU),JBLU
Air Transport,Allegiant Travel Company (NasdaqGS:ALGT),ALGT
Air Transport,"Delta Air Lines, Inc. (NYSE:DAL)",DAL
Air Transport,Southwest Airlines Co. (NYSE:LUV),LUV
Air Transport,"United Airlines Holdings, Inc. (NasdaqGS:UAL)",UAL
Air Transport,"SkyWest, Inc. (NasdaqGS:SKYW)",SKYW
Air Transport,"Mesa Air Group, Inc. (NasdaqGS:MESA)",MESA
Apparel,Lululemon Athletica Inc. (NasdaqGS:LULU),LULU
Apparel,Naked Brand Group Limited (NasdaqCM:NAKD),NAKD
Apparel,Capri Holdings Limited (NYSE:CPRI),CPRI
Apparel,"Ever-Glory International Group, Inc. (NasdaqGM:EVK)",EVK
Apparel,"Kingold Jewelry, Inc. (NasdaqCM:KGJI)",KGJI
Apparel,AS Rigas Juvelierizstradajumu Rupnica (RISE:RJR1R),RJR1R
Apparel,KBS Fashion Group Limited (NasdaqCM:KBSF),KBSF
Apparel,Dogness (International) Corporation (NasdaqGM:DOGZ),DOGZ
Apparel,"Iconix Brand Group, Inc. (NasdaqGS:ICON)",ICON
Apparel,Apex Global Brands Inc. (NasdaqCM:APEX),APEX
Apparel,"Sequential Brands Group, Inc. (NasdaqCM:SQBG)",SQBG
Apparel,Vince Holding Corp. (NYSE:VNCE),VNCE
Apparel,"Fossil Group, Inc. (NasdaqGS:FOSL)",FOSL
Apparel,Hanesbrands Inc. (NYSE:HBI),HBI
Apparel,"Vera Bradley, Inc. (NasdaqGS:VRA)",VRA
Apparel,"Under Armour, Inc. (NYSE:UAA)",UAA
Apparel,Ralph Lauren Corporation (NYSE:RL),RL
Apparel,"G-III Apparel Group, Ltd. (NasdaqGS:GIII)",GIII
Apparel,"Culp, Inc. (NYSE:CULP)",CULP
Apparel,"Tapestry, Inc. (NYSE:TPR)",TPR
Apparel,"Charles & Colvard, Ltd. (NasdaqCM:CTHR)",CTHR
Apparel,"Movado Group, Inc. (NYSE:MOV)",MOV
Apparel,"Crown Crafts, Inc. (NasdaqCM:CRWS)",CRWS
Apparel,PVH Corp. (NYSE:PVH),PVH
Apparel,"Unifi, Inc. (NYSE:UFI)",UFI
Apparel,"Superior Group of Companies, Inc. (NasdaqGM:SGC)",SGC
Apparel,"Forward Industries, Inc. (NasdaqCM:FORD)",FORD
Apparel,"Lakeland Industries, Inc. (NasdaqGM:LAKE)",LAKE
Apparel,"Carter's, Inc. (NYSE:CRI)",CRI
Apparel,V.F. Corporation (NYSE:VFC),VFC
Apparel,"Oxford Industries, Inc. (NYSE:OXM)",OXM
Apparel,Columbia Sportswear Company (NasdaqGS:COLM),COLM
Apparel,"Jerash Holdings (US), Inc. (NasdaqCM:JRSH)",JRSH
Apparel,"ToughBuilt Industries, Inc. (NasdaqCM:TBLT)",TBLT
Apparel,"Kontoor Brands, Inc. (NYSE:KTB)",KTB
Apparel,Centric Brands Inc. (NasdaqCM:CTRC),CTRC
Apparel,Levi Strauss & Co. (NYSE:LEVI),LEVI
Auto & Truck,Electrameccanica Vehicles Corp. (NasdaqCM:SOLO),SOLO
Auto & Truck,Ferrari N.V. (NYSE:RACE),RACE
Auto & Truck,"Harley-Davidson, Inc. (NYSE:HOG)",HOG
Auto & Truck,Ford Motor Company (NYSE:F),F
Auto & Truck,General Motors Company (NYSE:GM),GM
Auto & Truck,"Thor Industries, Inc. (NYSE:THO)",THO
Auto & Truck,"Tesla, Inc. (NasdaqGS:TSLA)",TSLA
Auto & Truck,"Winnebago Industries, Inc. (NYSE:WGO)",WGO
Auto & Truck,"Arcimoto, Inc. (NasdaqCM:FUV)",FUV
Auto Parts,"Autoliv, Inc. (NYSE:ALV)",ALV
Auto Parts,Aptiv PLC (NYSE:APTV),APTV
Auto Parts,"Veoneer, Inc. (NYSE:VNE)",VNE
Auto Parts,Garrett Motion Inc. (NYSE:GTX),GTX
Auto Parts,Delphi Technologies PLC (NYSE:DLPH),DLPH
Auto Parts,Adient plc (NYSE:ADNT),ADNT
Auto Parts,China XD Plastics Company Limited (NasdaqGM:CXDC),CXDC
Auto Parts,"Kandi Technologies Group, Inc. (NasdaqGS:KNDI)",KNDI
Auto Parts,"China Automotive Systems, Inc. (NasdaqCM:CAAS)",CAAS
Auto Parts,"SORL Auto Parts, Inc. (NasdaqGM:SORL)",SORL
Auto Parts,"Superior Industries International, Inc. (NYSE:SUP)",SUP
Auto Parts,Tenneco Inc. (NYSE:TEN),TEN
Auto Parts,"Shiloh Industries, Inc. (NasdaqGS:SHLO)",SHLO
Auto Parts,Strattec Security Corporation (NasdaqGM:STRT),STRT
Auto Parts,"Sypris Solutions, Inc. (NasdaqGM:SYPR)",SYPR
Auto Parts,"American Axle & Manufacturing Holdings, Inc. (NYSE:AXL)",AXL
Auto Parts,Cooper-Standard Holdings Inc. (NYSE:CPS),CPS
Auto Parts,Modine Manufacturing Company (NYSE:MOD),MOD
Auto Parts,"Motorcar Parts of America, Inc. (NasdaqGS:MPAA)",MPAA
Auto Parts,BorgWarner Inc. (NYSE:BWA),BWA
Auto Parts,Visteon Corporation (NasdaqGS:VC),VC
Auto Parts,Dana Incorporated (NYSE:DAN),DAN
Auto Parts,Gentherm Incorporated (NasdaqGS:THRM),THRM
Auto Parts,"Standard Motor Products, Inc. (NYSE:SMP)",SMP
Auto Parts,Lear Corporation (NYSE:LEA),LEA
Auto Parts,"Dorman Products, Inc. (NasdaqGS:DORM)",DORM
Auto Parts,Gentex Corporation (NasdaqGS:GNTX),GNTX
Auto Parts,Workhorse Group Inc. (NasdaqCM:WKHS),WKHS
Auto Parts,LCI Industries (NYSE:LCII),LCII
Auto Parts,"Stoneridge, Inc. (NYSE:SRI)",SRI
Auto Parts,Fox Factory Holding Corp. (NasdaqGS:FOXF),FOXF
Auto Parts,"XPEL, Inc. (NasdaqCM:XPEL)",XPEL
Auto Parts,Horizon Global Corporation (NYSE:HZN),HZN
Bank (Money Center),Permanent TSB Group Holdings plc (ISE:IL0A),IL0A
Bank (Money Center),AIB Group plc (ISE:AIBG),AIBG
Bank (Money Center),Bank Of Ireland Group plc (ISE:BIRG),BIRG
Bank (Money Center),Credicorp Ltd. (NYSE:BAP),BAP
Bank (Money Center),The Bank of N.T. Butterfield & Son Limited (NYSE:NTB),NTB
Bank (Money Center),Wells Fargo & Company (NYSE:WFC),WFC
Bank (Money Center),U.S. Bancorp (NYSE:USB),USB
Bank (Money Center),Citigroup Inc. (NYSE:C),C
Bank (Money Center),Bank of America Corporation (NYSE:BAC),BAC
Bank (Money Center),JPMorgan Chase & Co. (NYSE:JPM),JPM
Banks (Regional),"OptimumBank Holdings, Inc. (NasdaqCM:OPHC)",OPHC
Banks (Regional),"Patriot National Bancorp, Inc. (NasdaqGM:PNBK)",PNBK
Banks (Regional),Bank OZK (NasdaqGS:OZK),OZK
Banks (Regional),Riverview Financial Corporation (NasdaqGM:RIVE),RIVE
Banks (Regional),PacWest Bancorp (NasdaqGS:PACW),PACW
Banks (Regional),"Boston Private Financial Holdings, Inc. (NasdaqGS:BPFH)",BPFH
Banks (Regional),Hanmi Financial Corporation (NasdaqGS:HAFC),HAFC
Banks (Regional),Opus Bank (NasdaqGS:OPB),OPB
Banks (Regional),Glen Burnie Bancorp (NasdaqCM:GLBZ),GLBZ
Banks (Regional),CIT Group Inc. (NYSE:CIT),CIT
Banks (Regional),F.N.B. Corporation (NYSE:FNB),FNB
Banks (Regional),Umpqua Holdings Corporation (NasdaqGS:UMPQ),UMPQ
Banks (Regional),Peoples Financial Services Corp. (NasdaqGS:PFIS),PFIS
Banks (Regional),"Texas Capital Bancshares, Inc. (NasdaqGS:TCBI)",TCBI
Banks (Regional),"United Bankshares, Inc. (NasdaqGS:UBSI)",UBSI
Banks (Regional),"Hope Bancorp, Inc. (NasdaqGS:HOPE)",HOPE
Banks (Regional),Flushing Financial Corporation (NasdaqGS:FFIC),FFIC
Banks (Regional),"Investors Bancorp, Inc. (NasdaqGS:ISBC)",ISBC
Banks (Regional),Ames National Corporation (NasdaqCM:ATLO),ATLO
Banks (Regional),"WesBanco, Inc. (NasdaqGS:WSBC)",WSBC
Banks (Regional),Signature Bank (NasdaqGS:SBNY),SBNY
Banks (Regional),"Fauquier Bankshares, Inc. (NasdaqCM:FBSS)",FBSS
Banks (Regional),BankFinancial Corporation (NasdaqGS:BFIN),BFIN
Banks (Regional),"Penns Woods Bancorp, Inc. (NasdaqGS:PWOD)",PWOD
Banks (Regional),"People's United Financial, Inc. (NasdaqGS:PBCT)",PBCT
Banks (Regional),"Republic First Bancorp, Inc. (NasdaqGM:FRBK)",FRBK
Banks (Regional),"First Business Financial Services, Inc. (NasdaqGS:FBIZ)",FBIZ
Banks (Regional),Citizens Holding Company (NasdaqGM:CIZN),CIZN
Banks (Regional),IBERIABANK Corporation (NasdaqGS:IBKC),IBKC
Banks (Regional),Valley National Bancorp (NasdaqGS:VLY),VLY
Banks (Regional),Pacific Mercantile Bancorp (NasdaqGS:PMBC),PMBC
Banks (Regional),Summit State Bank (NasdaqGM:SSBI),SSBI
Banks (Regional),Associated Banc-Corp (NYSE:ASB),ASB
Banks (Regional),"BCB Bancorp, Inc. (NasdaqGM:BCBP)",BCBP
Banks (Regional),"Customers Bancorp, Inc. (NYSE:CUBI)",CUBI
Banks (Regional),"The Bancorp, Inc. (NasdaqGS:TBBK)",TBBK
Banks (Regional),UMB Financial Corporation (NasdaqGS:UMBF),UMBF
Banks (Regional),First Horizon National Corporation (NYSE:FHN),FHN
Banks (Regional),Old National Bancorp (NasdaqGS:ONB),ONB
Banks (Regional),"Home Bancshares, Inc. (Conway, AR) (NasdaqGS:HOMB)",HOMB
Banks (Regional),Renasant Corporation (NasdaqGS:RNST),RNST
Banks (Regional),"First Financial Northwest, Inc. (NasdaqGS:FFNW)",FFNW
Banks (Regional),"Berkshire Hills Bancorp, Inc. (NYSE:BHLB)",BHLB
Banks (Regional),"Financial Institutions, Inc. (NasdaqGS:FISI)",FISI
Banks (Regional),"BankUnited, Inc. (NYSE:BKU)",BKU
Banks (Regional),"East West Bancorp, Inc. (NasdaqGS:EWBC)",EWBC
Banks (Regional),"Bridge Bancorp, Inc. (NasdaqGS:BDGE)",BDGE
Banks (Regional),Hilltop Holdings Inc. (NYSE:HTH),HTH
Banks (Regional),"MidWestOne Financial Group, Inc. (NasdaqGS:MOFG)",MOFG
