,SEDOL,ticker,name,ESG
1,BP41ZD1,BABA,Alibaba Group Holding Ltd.,Y
2,7123870,NESN,Nestle SA,Y
3,BMMV2K8,700,Tencent Holdings Ltd.,Y
4,6889106,2330,Taiwan Semiconductor Manufacturing Co. Ltd.,Y
5,6771720,5930,Samsung Electronics Co. Ltd.,Y
6,7110388,ROG,Roche Holding AG,Y
7,7103065,NOVN,Novartis AG,N
8,6900643,7203,Toyota Motor Corp.,Y
9,540528,HSBA,HSBC Holdings plc,N
10,B15C557,FP,TOTAL SA,N
11,989529,AZN,AstraZeneca plc,Y
12,4846288,SAP,SAP SE,Y
13,B03MLX2,RDSA,Royal Dutch Shell plc,N
14,B4TX8S1,1299,AIA Group Ltd.,Y
15,798059,BP.,BP plc,N
16,B929F46,ASML,ASML Holding NV,Y
17,4061412,MC,LVMH Moet Hennessy Louis Vuitton SE,N
18,925288,GSK,GlaxoSmithKline plc,Y
19,2754383,RY,Royal Bank of Canada,Y
20,5671735,SAN,Sanofi,Y
21,B03MM40,RDSB,Royal Dutch Shell plc Class B,N
22,2897222,TD,TORONTO-DOMINION BANK,Y
23,5231485,ALV,Allianz SE,Y
24,6215035,CBA,Commonwealth Bank of Australia,Y
25,5727973,SIE,Siemens AG,N
26,237400,DGE,Diageo plc,N
27,BHC8X90,NOVO B,Novo Nordisk A/S Class B,Y
28,287580,BATS,British American Tobacco plc,N
29,6185495,CSL,CSL Ltd.,Y
30,6821506,6758,Sony Corp.,Y
31,B1527V7,UNA,Unilever NV,Y
32,4012250,AIR,Airbus SE,N
33,6144690,BHP,BHP Group Ltd.,N
34,B0LMTQ3,939,China Construction Bank Corp.,Y
35,2466149,ENB,Enbridge Inc.,Y
36,5069211,BAYN,Bayer AG,Y
37,6622691,NPN,Naspers Ltd.,Y
38,6770620,9984,SoftBank Group Corp.,Y
39,5086577,BAS,BASF SE,N
40,2076281,BNS,Bank of Nova Scotia,Y
41,6335171,8306,Mitsubishi UFJ Financial Group Inc.,Y
42,5705946,SAN,Banco Santander SA,Y
43,6099626,RELIANCE,Reliance Industries Ltd.,N
44,2180632,CNR,Canadian National Railway Co.,Y
45,718875,RIO,Rio Tinto plc,N
46,B01FLR7,2318,Ping An Insurance Group Co. of China Ltd.,Y
47,7309681,BNP,BNP Paribas SA,Y
48,6490995,6861,Keyence Corp.,Y
49,BYYHL23,ABI,Anheuser-Busch InBev SA/NV,N
50,4031976,ADS,adidas AG,Y
51,B10RZP7,ULVR,Unilever plc,Y
52,7144569,ENEL,Enel SPA,N
53,4057808,OR,L'Oreal SA,Y
54,6076146,WBC,Westpac Banking Corp.,Y
55,B288C92,IBE,Iberdrola SA,N
56,B1G1QD8,1398,Industrial & Commercial Bank of China Ltd.,Y
57,5983816,ZURN,Zurich Insurance Group AG,Y
58,6171900,HDFC,Housing Development Finance Corp. Ltd.,Y
59,870612,LLOY,Lloyds Banking Group plc,Y
60,B1YXBJ7,AI,Air Liquide SA,Y
61,6870445,4502,Takeda Pharmaceutical Co. Ltd.,Y
62,7088429,CS,AXA SA,Y
63,4834108,SU,Schneider Electric SE,N
64,5842359,DTE,Deutsche Telekom AG,N
65,BH4HKS3,VOD,Vodafone Group plc,Y
66,2092599,BAM.A,Brookfield Asset Management Inc. Class A,N
67,B1XH026,DG,Vinci SA,N
68,B24CGK7,RB.,Reckitt Benckiser Group plc,Y
69,6248990,9433,KDDI Corp.,Y
70,B058TZ6,SAF,Safran SA,N
71,B3NB1P2,SU,Suncor Energy Inc.,N
72,6624608,NAB,National Australia Bank Ltd.,Y
73,709954,PRU,Prudential plc,Y
74,B1Y9TB3,BN,Danone SA,Y
75,2076009,BMO,Bank of Montreal,Y
76,BJMY6G0,TRP,TC Energy Corp.,Y
77,6435145,7267,Honda Motor Co. Ltd.,Y
78,6065586,ANZ,Australia & New Zealand Banking Group Ltd.,Y
79,5505072,KER,Kering SA,Y
80,BH0P3Z9,BHP,BHP Group plc,N
81,6563024,8316,Sumitomo Mitsui Financial Group Inc.,Y
82,BQRRZ00,6098,Recruit Holdings Co. Ltd.,Y
83,BZ57390,INGA,ING Groep NV,Y
84,7212477,EL,EssilorLuxottica SA,Y
85,BGJW376,3690,Meituan Dianping,N
86,6073556,941,China Mobile Ltd.,Y
87,5529027,DAI,Daimler AG,Y
88,5986622,PHIA,Koninklijke Philips NV,Y
89,6804585,4063,Shin-Etsu Chemical Co. Ltd.,Y
90,BDR05C0,NG.,National Grid plc,Y
91,BRJL176,UBSG,UBS Group AG,Y
92,7108899,ABBN,ABB Ltd.,N
93,6639550,7974,Nintendo Co. Ltd.,Y
94,5294121,MUV2,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,Y
95,2196286,VALE3,Vale SA,N
96,B0J7D91,4568,Daiichi Sankyo Co. Ltd.,Y
97,6450267,660,SK Hynix Inc.,Y
98,4767981,SBER,Sberbank of Russia PJSC,Y
99,3134865,BARC,Barclays plc,Y
100,6267359,388,Hong Kong Exchanges & Clearing Ltd.,Y
101,2492519,MFC,Manulife Financial Corp.,Y
102,BCRWZ18,CFR,Cie Financiere Richemont SA,Y
103,BD6K457,CPG,Compass Group plc,Y
