ticker,weight,ISIN,total_score,govern_score,social_score,environ_score,industry,company
A,0.000916,US00846U1016,65.58,62.58,59.37,80.35,Heathcare Information and Technology,"Agilent Technologies, Inc. (NYSE:A)"
AAL,0.000665,US02376R1023,53.72,64.99,56.09,42.98,Air Transport,American Airlines Group Inc. (NasdaqGS:AAL)
AAP,0.0005059999999999999,US00751Y1064,47.37,62.0,43.87,40.93,Retail (Automotive),"Advance Auto Parts, Inc. (NYSE:AAP)"
AAPL,0.042218,US0378331005,69.33,54.68,56.8,89.42,Computers/Peripherals,Apple Inc. (NasdaqGS:AAPL)
ABBV,0.005828,US00287Y1091,66.26,68.46,60.53,73.94,Drugs (Biotechnology),AbbVie Inc. (NYSE:ABBV)
ABC,0.000614,US03073E1055,53.88,58.48,44.57,65.1,Healthcare Support Services,AmerisourceBergen Corporation (NYSE:ABC)
ABMD,0.000808,US0036541003,45.95,52.12,40.03,49.2,Healthcare Products,"Abiomed, Inc. (NasdaqGS:ABMD)"
ABT,0.005268,US0028241000,63.5,58.92,60.44,74.5,Healthcare Products,Abbott Laboratories (NYSE:ABT)
ACN,0.004494,IE00B4BNMY34,74.76,77.15,68.72,81.83,Computer Services,Accenture plc (NYSE:ACN)
ADBE,0.0054659999999999995,US00724F1012,68.17,65.99,66.06,73.17,Software (System & Application),Adobe Inc. (NasdaqGS:ADBE)
ADI,0.001381,US0326541051,76.86,64.65,81.4,80.52,Semiconductor,"Analog Devices, Inc. (NasdaqGS:ADI)"
ADM,0.00114,US0394831020,57.14,66.24,49.26,59.65,Farming/Agriculture,Archer-Daniels-Midland Company (NYSE:ADM)
ADP,0.002676,US0530151036,54.93,59.63,47.71,61.83,Information Services,"Automatic Data Processing, Inc. (NasdaqGS:ADP)"
ADS,0.00045700000000000005,US0185811082,51.59,63.05,40.95,58.0,Information Services,Alliance Data Systems Corporation (NYSE:ADS)
ADSK,0.001373,US0527691069,62.18,66.85,53.6,71.17,Software (System & Application),"Autodesk, Inc. (NasdaqGS:ADSK)"
AEE,0.000621,US0236081024,62.63,74.95,61.65,56.43,Utility (General),Ameren Corporation (NYSE:AEE)
AEP,0.001407,US0255371017,67.42,79.15,73.86,56.62,Power,"American Electric Power Company, Inc. (NYSE:AEP)"
AES,0.00037400000000000004,US00130H1059,63.87,69.59,73.34,54.37,Power,The AES Corporation (NYSE:AES)
AET,0.002698,US00817Y1082,59.76,71.04,49.53,64.65,,
AFL,0.001471,US0010551028,56.25,51.52,67.1,50.67,Insurance (Life),Aflac Incorporated (NYSE:AFL)
AGN,0.0024850000000000002,IE00BY9D5467,61.92,65.02,54.76,71.09,Drugs (Pharmaceutical),Allergan plc (NYSE:AGN)
AIG,0.0019199999999999998,US0268747849,56.12,48.01,63.78,58.25,Insurance (General),"American International Group, Inc. (NYSE:AIG)"
AIV,0.000278,US03748R1014,48.5,52.19,53.31,42.12,R.E.I.T.,Apartment Investment and Management Company (NYSE:AIV)
AIZ,0.00023700000000000001,US04621X1081,52.9,52.71,51.62,54.5,Insurance (General),"Assurant, Inc. (NYSE:AIZ)"
AJG,0.000552,US3635761097,54.77,52.73,60.89,50.83,Insurance (General),Arthur J. Gallagher & Co. (NYSE:AJG)
AKAM,0.0004940000000000001,US00971T1016,61.25,60.09,58.73,66.0,Software (Internet),"Akamai Technologies, Inc. (NasdaqGS:AKAM)"
ALB,0.00045,US0126531013,61.47,65.87,67.1,53.79,Chemical (Specialty),Albemarle Corporation (NYSE:ALB)
ALGN,0.00116,US0162551016,49.6,56.5,45.23,49.2,Healthcare Products,"Align Technology, Inc. (NasdaqGS:ALGN)"
ALK,0.000337,US0116591092,51.79,63.87,55.98,38.37,Air Transport,"Alaska Air Group, Inc. (NYSE:ALK)"
ALL,0.001395,US0200021014,62.46,58.72,65.45,64.0,Insurance (Prop/Cas.),The Allstate Corporation (NYSE:ALL)
ALLE,0.000344,IE00BFRT3W74,55.53,72.3,55.86,44.75,Building Materials,Allegion plc (NYSE:ALLE)
ALXN,0.001228,US0153511094,45.76,48.72,37.87,56.45,Drugs (Biotechnology),"Alexion Pharmaceuticals, Inc. (NasdaqGS:ALXN)"
AMAT,0.001526,US0382221051,66.32,59.75,67.3,69.57,Semiconductor Equip,"Applied Materials, Inc. (NasdaqGS:AMAT)"
AMD,0.001092,US0079031078,69.37,54.45,77.28,71.79,Semiconductor,"Advanced Micro Devices, Inc. (NasdaqGS:AMD)"
AME,0.0007440000000000001,US0311001004,47.08,58.65,46.22,40.59,Electrical Equipment,"AMETEK, Inc. (NYSE:AME)"
AMG,0.00031099999999999997,US0082521081,49.16,52.28,55.32,38.64,Investments & Asset Management,"Affiliated Managers Group, Inc. (NYSE:AMG)"
AMGN,0.005424,US0311621009,57.73,64.64,42.18,77.43,Drugs (Biotechnology),Amgen Inc. (NasdaqGS:AMGN)
AMP,0.000867,US03076C1062,58.88,71.8,50.12,51.9,Investments & Asset Management,"Ameriprise Financial, Inc. (NYSE:AMP)"
AMT,0.0025629999999999997,US03027X1000,53.2,56.69,50.95,52.27,R.E.I.T.,American Tower Corporation (REIT) (NYSE:AMT)
AMZN,0.033273000000000004,US0231351067,44.82,46.48,47.38,40.71,Retail (Online),"Amazon.com, Inc. (NasdaqGS:AMZN)"
ANDV,0.000863,US03349M1053,61.98,75.12,66.72,47.18,,
ANET,0.000543,US0404131064,53.76,52.85,53.57,54.49,Telecom. Equipment,"Arista Networks, Inc. (NYSE:ANET)"
ANSS,0.00063,US03662Q1058,49.17,59.2,46.72,44.5,Software (System & Application),"ANSYS, Inc. (NasdaqGS:ANSS)"
ANTM,0.002909,US0367521038,59.3,69.27,47.14,69.2,Healthcare Support Services,"Anthem, Inc. (NYSE:ANTM)"
AON,0.001526,GB00B5BT0K07,54.94,54.06,59.9,50.75,Insurance (General),Aon plc (NYSE:AON)
AOS,0.000314,US8318652091,47.43,59.45,42.71,44.04,Building Materials,A. O. Smith Corporation (NYSE:AOS)
APA,0.000745,US0374111054,62.55,63.86,72.2,50.58,Oil/Gas (Production and Exploration),Apache Corporation (NYSE:APA)
APC,0.0014269999999999999,US0325111070,55.77,58.02,62.37,46.62,,
APD,0.0014960000000000002,US0091581068,69.14,71.68,69.21,67.5,Chemical (Specialty),"Air Products and Chemicals, Inc. (NYSE:APD)"
APH,0.001158,US0320951017,58.09,55.5,64.65,53.97,Electronics (General),Amphenol Corporation (NYSE:APH)
APTV,0.0009029999999999999,JE00B783TY65,71.54,62.59,70.1,79.57,Auto Parts,Aptiv PLC (NYSE:APTV)
