lambda,returns
0.0,0.003636394189108586
0.001,0.003622436869158342
0.002,0.003608479549208085
0.003,0.003594522229257834
0.004,0.0035805649093075837
0.005,0.0035666075893573293
0.006,0.0035526502694070827
0.007,0.0035386929494568287
0.008,0.00352473562950658
0.009000000000000001,0.0035107783095563306
0.01,0.0034968209896060706
0.011,0.003482863669655825
0.012,0.0034689063497055682
0.013000000000000001,0.0034549490297553233
0.014,0.0034409917098050663
0.015,0.003427034389854816
0.016,0.0034130770699045657
0.017,0.0033991197499543143
0.018000000000000002,0.0033851624300040586
0.019,0.003371205110053812
0.02,0.003357247790103557
0.021,0.00334329047015331
0.022,0.003329333150203056
0.023,0.003315375830252803
0.024,0.003301418510302556
0.025,0.003287461190352301
0.026000000000000002,0.003273503870402055
0.027,0.0032595465504517995
0.028,0.0032455892305015468
0.029,0.003231631910551295
0.03,0.0032176745906010475
0.031,0.003203717270650792
0.032,0.0031897599507005434
0.033,0.0031758026307502876
0.034,0.0031618453108000397
0.035,0.003147887990849787
0.036000000000000004,0.003133930670899534
0.037,0.0031199733509492847
0.038,0.003106016030999035
0.039,0.0030920587110487823
0.04,0.0030781013910985283
0.041,0.003064144071148282
0.042,0.0030501867511980264
0.043000000000000003,0.003036229431247778
0.044,0.00302227211129753
0.045,0.003008314791347278
0.046,0.002994357471397024
0.047,0.0029804001514467703
0.048,0.00296644283149652
0.049,0.002952485511546269
0.05,0.002938528191596012
0.051000000000000004,0.002924570871645765
0.052000000000000005,0.0029106135516955133
0.053,0.0028966562317452593
0.054,0.002882698911795009
0.055,0.002868741591844759
0.056,0.002854784271894509
0.057,0.002840826951944258
0.058,0.0028268696319940024
0.059000000000000004,0.0028129123120437557
0.06,0.0027989549920935026
0.061,0.0027849976721432508
0.062,0.0027710403521929985
0.063,0.0027570830322427493
0.064,0.002743125712292493
0.065,0.0027291683923422456
0.066,0.002715211072391996
0.067,0.002701253752441745
0.068,0.002687296432491494
0.069,0.0026733391125412405
0.07,0.002659381792590989
0.07100000000000001,0.002645424472640737
0.07200000000000001,0.002631467152690483
0.073,0.0026175098327402275
0.074,0.0026035525127899818
0.075,0.0025895951928397287
0.076,0.00257563787288948
0.077,0.0025616805529392285
0.078,0.002547723232988974
0.079,0.0025337659130387235
0.08,0.002519808593088476
0.081,0.0025058512731382216
0.082,0.0024918939531879715
0.083,0.0024779366332377184
0.084,0.002463979313287466
0.085,0.0024500219933372117
0.08600000000000001,0.0024360646733869677
0.08700000000000001,0.0024221073534367167
0.088,0.002408150033486462
0.089,0.002394192713536214
0.09,0.0023802353935859603
0.091,0.0023662780736357076
0.092,0.0023523207536854597
0.093,0.0023383634337352027
0.094,0.0023244061137849548
0.095,0.0023104487938346995
0.096,0.0022964914738844524
0.097,0.0022825341539341984
0.098,0.0022685768339839466
0.099,0.002254619514033699
0.1,0.0022406621940834447
0.101,0.002226704874133196
0.10200000000000001,0.0022127475541829414
0.10300000000000001,0.00219879023423269
0.10400000000000001,0.0021848329142824417
0.105,0.0021708755943321873
0.106,0.002156918274381932
0.107,0.0021429609544316853
0.108,0.002129003634481426
0.109,0.0021150463145311812
0.11,0.0021010889945809277
0.111,0.002087131674630682
0.112,0.002073174354680428
0.113,0.0020592170347301783
0.114,0.002045259714779925
0.115,0.0020313023948296777
0.116,0.0020173450748794193
0.117,0.0020033877549291744
0.11800000000000001,0.001989430434978919
0.11900000000000001,0.001975473115028669
0.12,0.0019615157950784133
0.121,0.0019475584751281626
0.122,0.0019336011551779144
0.123,0.001919643835227663
0.124,0.001905686515277409
0.125,0.001891729195327158
0.126,0.0018777718753769073
0.127,0.001863814555426654
0.128,0.0018498572354764045
0.129,0.0018358999155261495
0.13,0.0018219425955758983
0.131,0.001807985275625651
0.132,0.0017940279556753953
0.133,0.0017800706357251435
0.134,0.0017661133157748938
0.135,0.0017521559958246456
0.136,0.0017381986758743917
0.137,0.0017242413559241398
0.138,0.0017102840359738893
0.139,0.0016963267160236381
0.14,0.0016823693960733843
0.14100000000000001,0.0016684120761231353
0.14200000000000002,0.0016544547561728842
0.14300000000000002,0.0016404974362226286
0.14400000000000002,0.0016265401162723833
0.145,0.0016125827963221263
0.146,0.0015986254763718786
0.147,0.001584668156421624
0.148,0.0015707108364713723
0.149,0.0015567535165211237
0.15,0.001542796196570866
0.151,0.0015288388766206212
0.152,0.0015148815566703691
0.153,0.0015009242367201169
0.154,0.0014869669167698672
0.155,0.0014730095968196156
0.156,0.0014590522768693653
0.157,0.0014450949569191113
0.158,0.0014311376369688577
0.159,0.0014171803170186124
0.16,0.0014032229970683558
0.161,0.0013892656771181064
0.162,0.0013753083571678548
0.163,0.0013613510372176012
0.164,0.0013473937172673509
0.165,0.0013334363973171001
0.166,0.0013194790773668511
0.167,0.001305521757416597
0.168,0.001291564437466344
0.169,0.001277607117516096
0.17,0.0012636497975658447
0.171,0.0012496924776155948
0.17200000000000001,0.0012357351576653417
0.17300000000000001,0.001221777837715087
0.17400000000000002,0.0012078205177648395
0.17500000000000002,0.0011938631978145866
0.176,0.0011799058778643352
0.177,0.0011659485579140838
0.178,0.0011519912379638353
0.179,0.0011380339180135817
0.18,0.0011240765980633294
0.181,0.0011101192781130778
0.182,0.0010961619581628277
0.183,0.0010822046382125727
0.184,0.001068247318262324
0.185,0.001054289998312069
0.186,0.001040332678361817
0.187,0.0010263753584115662
0.188,0.001012418038461316
0.189,0.0009984607185110656
0.19,0.0009845033985608146
0.191,0.0009705460786105626
0.192,0.0009565887586603173
0.193,0.0009426314387100568
0.194,0.0009286741187598084
0.195,0.0009147167988095532
0.196,0.0009007594788593073
0.197,0.0008868021589090503
0.198,0.0008728448389588049
0.199,0.0008588875190085508
0.2,0.000844930199058299
0.201,0.0008309728791080493
0.202,0.000817015559157796
0.203,0.0008030582392075478
0.20400000000000001,0.000789100919257296
0.20500000000000002,0.0007751435993070404
0.20600000000000002,0.0007611862793567932
0.20700000000000002,0.0007472289594065366
0.20800000000000002,0.0007332716394562905
0.209,0.0007193143195060338
0.21,0.0007053569995557839
0.211,0.0006913996796055367
0.212,0.0006774423596552789
0.213,0.0006634850397050313
0.214,0.0006495277197547821
0.215,0.00063557039980453
0.216,0.0006216130798542792
0.217,0.0006076557599040268
0.218,0.0005936984399537759
0.219,0.000579741120003522
0.22,0.0005657838000532674
0.221,0.0005518264801030227
0.222,0.0005378691601527686
0.223,0.0005239118402025187
0.224,0.0005099545202522633
0.225,0.0004959972003020131
0.226,0.00048203988035176466
0.227,0.00046808256040151576
0.228,0.00045412524045126176
0.229,0.0004401679205010119
0.23,0.00042621060055075696
0.231,0.00041225328060050487
0.232,0.0003982959606502574
0.233,0.00038433864070000197
0.234,0.0003703813207497495
0.23500000000000001,0.0003564240007995011
0.23600000000000002,0.00034246668084924605
0.23700000000000002,0.00032850936089899433
0.23800000000000002,0.0003145520409487421
0.23900000000000002,0.00030059472099849187
0.24,0.00028663740104824817
0.241,0.00027268008109799407
0.242,0.000258722761147737
0.243,0.0002447654411974879
0.244,0.00023080812124723707
0.245,0.000216850801296986
0.246,0.00020289348134673276
0.247,0.000188936161396483
0.248,0.00017497884144623203
0.249,0.0001610215214959764
0.25,0.00014706420154573076
0.251,0.00013310688159548034
0.252,0.0001191495616452244
0.253,0.00010519224169497365
0.254,9.123492174471705e-05
0.255,7.727760179446761e-05
0.256,6.332028184421898e-05
0.257,4.936296189396374e-05
0.258,3.540564194371668e-05
0.259,2.1448321993464202e-05
0.26,7.491002043214705e-06
0.261,-6.466317907038695e-06
0.262,-2.0423637857291174e-05
0.263,-3.438095780753541e-05
0.264,-4.8338277757793854e-05
0.265,-6.229559770804584e-05
0.266,-7.625291765829805e-05
0.267,-9.02102376085489e-05
0.268,-0.00010416755755879889
0.269,-0.00011812487750905017
0.27,-0.00013208219745930374
0.271,-0.0001460395174095496
0.272,-0.00015999683735980783
0.273,-0.00017395415731005505
0.274,-0.00018791147726030059
0.275,-0.0002018687972105561
0.276,-0.00021582611716081373
0.277,-0.00022978343711106133
0.278,-0.00024374075706131386
0.279,-0.0002576980770115634
0.28,-0.00027165539696181584
0.281,-0.00028561271691206756
0.28200000000000003,-0.0002995700368623171
0.28300000000000003,-0.0003135273568125688
0.28400000000000003,-0.0003274846767628213
0.28500000000000003,-0.0003414419967130715
0.28600000000000003,-0.0003553993166633252
0.28700000000000003,-0.00036935663661357294
0.28800000000000003,-0.0003833139565638246
0.289,-0.0003972712765140788
0.29,-0.00041122859646433086
0.291,-0.0004251859164145778
0.292,-0.00043914323636483186
0.293,-0.00045310055631508385
0.294,-0.0004670578762653382
0.295,-0.00048101519621559
0.296,-0.0004949725161658346
0.297,-0.0005089298361160881
0.298,-0.0005228871560663416
0.299,-0.0005368444760165928
0.3,-0.0005508017959668437
0.301,-0.0005647591159170966
0.302,-0.0005787164358673436
0.303,-0.0005926737558176015
0.304,-0.0006066310757678507
0.305,-0.0006205883957181013
0.306,-0.0006345457156683547
0.307,-0.0006485030356186025
0.308,-0.000662460355568854
0.309,-0.0006764176755191066
0.31,-0.0006903749954693574
0.311,-0.0007043323154196134
0.312,-0.000718289635369863
0.313,-0.0007322469553201115
0.314,-0.000746204275270361
0.315,-0.0007601615952206149
0.316,-0.0007741189151708671
0.317,-0.0007880762351211158
0.318,-0.0008020335550713708
0.319,-0.0008159908750216217
0.32,-0.0008299481949718719
0.321,-0.0008439055149221258
0.322,-0.0008578628348723787
0.323,-0.0008718201548226282
0.324,-0.00088577747477288
0.325,-0.0008997347947231284
0.326,-0.0009136921146733816
0.327,-0.0009276494346236324
0.328,-0.000941606754573887
0.329,-0.000955564074524135
0.33,-0.0009695213944743897
0.331,-0.0009834787144246404
0.332,-0.0009974360343748886
0.333,-0.0010113933543251367
0.334,-0.0010253506742753965
0.335,-0.0010393079942256417
0.336,-0.0010532653141758935
0.337,-0.0010672226341261473
0.338,-0.001081179954076398
0.339,-0.001095137274026651
0.34,-0.0011090945939769051
0.341,-0.0011230519139271509
0.342,-0.001137009233877407
0.343,-0.001150966553827651
0.34400000000000003,-0.0011649238737779066
0.34500000000000003,-0.0011788811937281619
0.34600000000000003,-0.00119283851367841
0.34700000000000003,-0.0012067958336286623
0.34800000000000003,-0.0012207531535789148
0.34900000000000003,-0.001234710473529166
0.35000000000000003,-0.0012486677934794162
0.35100000000000003,-0.0012626251134296698
0.352,-0.0012765824333799184
0.353,-0.001290539753330171
0.354,-0.0013044970732804181
0.355,-0.0013184543932306708
0.356,-0.0013324117131809227
0.357,-0.0013463690331311762
0.358,-0.0013603263530814307
0.359,-0.0013742836730316803
0.36,-0.0013882409929819326
0.361,-0.0014021983129321788
0.362,-0.001416155632882437
0.363,-0.001430112952832686
0.364,-0.0014440702727829362
0.365,-0.0014580275927331876
0.366,-0.0014719849126834392
0.367,-0.0014859422326336893
0.368,-0.0014998995525839455
0.369,-0.0015138568725341973
0.37,-0.0015278141924844422
0.371,-0.0015417715124347
0.372,-0.0015557288323849484
0.373,-0.0015696861523352005
0.374,-0.0015836434722854512
0.375,-0.001597600792235703
0.376,-0.0016115581121859531
0.377,-0.0016255154321362052
0.378,-0.001639472752086455
0.379,-0.0016534300720367112
0.38,-0.0016673873919869618
0.381,-0.0016813447119372086
0.382,-0.0016953020318874685
0.383,-0.0017092593518377125
0.384,-0.001723216671787963
0.385,-0.0017371739917382183
0.386,-0.001751131311688465
0.387,-0.0017650886316387207
0.388,-0.0017790459515889733
0.389,-0.0017930032715392213
0.39,-0.0018069605914894746
0.391,-0.001820917911439724
0.392,-0.0018348752313899746
0.393,-0.0018488325513402273
0.394,-0.00186278987129048
0.395,-0.0018767471912407322
0.396,-0.001890704511190979
0.397,-0.0019046618311412303
0.398,-0.0019186191510914825
0.399,-0.0019325764710417363
0.4,-0.001946533790991987
0.401,-0.0019604911109422406
0.402,-0.0019744484308924924
0.403,-0.0019884057508427473
0.404,-0.0020023630707929974
0.405,-0.002016320390743249
0.406,-0.0020302777106934954
0.40700000000000003,-0.00204423503064375
0.40800000000000003,-0.0020581923505939965
0.40900000000000003,-0.0020721496705442483
0.41000000000000003,-0.0020861069904945014
0.41100000000000003,-0.002100064310444751
0.41200000000000003,-0.0021140216303950085
0.41300000000000003,-0.002127978950345261
0.41400000000000003,-0.0021419362702955066
0.41500000000000004,-0.0021558935902457636
0.41600000000000004,-0.0021698509101960115
0.417,-0.0021838082301462664
0.418,-0.0021977655500965156
0.419,-0.0022117228700467666
0.42,-0.0022256801899970128
0.421,-0.002239637509947271
0.422,-0.002253594829897519
0.423,-0.0022675521498477726
0.424,-0.0022815094697980235
0.425,-0.0022954667897482736
0.426,-0.0023094241096985233
0.427,-0.002323381429648781
0.428,-0.0023373387495990256
0.429,-0.002351296069549278
0.43,-0.0023652533894995328
0.431,-0.00237921070944978
0.432,-0.0023931680294000356
0.433,-0.0024071253493502887
0.434,-0.0024210826693005357
0.435,-0.002435039989250788
0.436,-0.0024489973092010403
0.437,-0.002462954629151291
0.438,-0.002476911949101542
0.439,-0.0024908692690517945
0.44,-0.0025048265890020476
0.441,-0.0025187839089523
0.442,-0.00253274122890255
0.443,-0.0025466985488528018
0.444,-0.002560655868803053
0.445,-0.002574613188753307
0.446,-0.002588570508703554
0.447,-0.0026025278286538086
0.448,-0.002616485148604054
0.449,-0.002630442468554312
0.45,-0.002644399788504558
0.451,-0.002658357108454814
0.452,-0.0026723144284050687
0.453,-0.002686271748355312
0.454,-0.0027002290683055654
0.455,-0.0027141863882558155
0.456,-0.0027281437082060673
0.457,-0.002742101028156323
0.458,-0.002756058348106572
0.459,-0.0027700156680568267
0.46,-0.0027839729880070755
0.461,-0.002797930307957325
0.462,-0.0028118876279075783
0.463,-0.002825844947857831
0.464,-0.0028398022678080797
0.465,-0.002853759587758335
0.466,-0.002867716907708584
0.467,-0.0028816742276588357
0.468,-0.002895631547609085
0.46900000000000003,-0.0029095888675593424
0.47000000000000003,-0.002923546187509588
0.47100000000000003,-0.0029375035074598412
0.47200000000000003,-0.002951460827410092
0.47300000000000003,-0.0029654181473603445
0.47400000000000003,-0.0029793754673105985
0.47500000000000003,-0.0029933327872608472
0.47600000000000003,-0.003007290107211098
0.47700000000000004,-0.003021247427161353
0.47800000000000004,-0.003035204747111604
0.47900000000000004,-0.003049162067061855
0.48,-0.0030631193870121025
0.481,-0.0030770767069623573
0.482,-0.0030910340269126053
0.483,-0.003104991346862859
0.484,-0.003118948666813108
0.485,-0.003132905986763357
0.486,-0.0031468633067136126
0.487,-0.0031608206266638657
0.488,-0.0031747779466141154
0.489,-0.003188735266564363
0.49,-0.0032026925865146195
0.491,-0.003216649906464867
0.492,-0.003230607226415122
0.493,-0.003244564546365372
0.494,-0.0032585218663156224
0.495,-0.0032724791862658756
0.496,-0.0032864365062161287
0.497,-0.0033003938261663814
0.498,-0.0033143511461166284
0.499,-0.0033283084660668816
0.5,-0.003342265786017134
0.501,-0.0033562231059673852
0.502,-0.0033701804259176366
0.503,-0.0033841377458678863
0.504,-0.003398095065818136
0.505,-0.003412052385768389
0.506,-0.003426009705718642
0.507,-0.003439967025668896
0.508,-0.003453924345619145
