lambda,returns
0.0,-0.03737763802720508
0.001,-0.0373228792131183
0.002,-0.03726812039903152
0.003,-0.03721336158494474
0.004,-0.03715860277085796
0.005,-0.03710384395677116
0.006,-0.03704908514268438
0.007,-0.03699432632859756
0.008,-0.036939567514510815
0.009000000000000001,-0.03688480870042401
0.01,-0.03683004988633722
0.011,-0.03677529107225043
0.012,-0.03672053225816366
0.013000000000000001,-0.03666577344407688
0.014,-0.036611014629990085
0.015,-0.0365562558159033
0.016,-0.03650149700181651
0.017,-0.03644673818772974
0.018000000000000002,-0.03639197937364295
0.019,-0.036337220559556134
0.02,-0.03628246174546934
0.021,-0.036227702931382576
0.022,-0.03617294411729579
0.023,-0.03611818530320902
0.024,-0.036063426489122224
0.025,-0.03600866767503544
0.026000000000000002,-0.03595390886094865
0.027,-0.03589915004686185
0.028,-0.03584439123277505
0.029,-0.03578963241868831
0.03,-0.03573487360460151
0.031,-0.03568011479051472
0.032,-0.03562535597642796
0.033,-0.03557059716234116
0.034,-0.035515838348254364
0.035,-0.03546107953416758
0.036000000000000004,-0.035406320720080764
0.037,-0.035351561905994006
0.038,-0.03529680309190722
0.039,-0.035242044277820433
0.04,-0.03518728546373364
0.041,-0.03513252664964686
0.042,-0.035077767835560075
0.043000000000000003,-0.0350230090214733
0.044,-0.03496825020738651
0.045,-0.0349134913932997
0.046,-0.03485873257921292
0.047,-0.034803973765126145
0.048,-0.034749214951039345
0.049,-0.03469445613695256
0.05,-0.03463969732286579
0.051000000000000004,-0.03458493850877897
0.052000000000000005,-0.0345301796946922
0.053,-0.03447542088060543
0.054,-0.034420662066518636
0.055,-0.03436590325243184
0.056,-0.03431114443834508
0.057,-0.034256385624258284
0.058,-0.034201626810171505
0.059000000000000004,-0.034146867996084684
0.06,-0.03409210918199793
0.061,-0.034037350367911126
0.062,-0.033982591553824354
0.063,-0.033927832739737554
0.064,-0.03387307392565077
0.065,-0.033818315111564
0.066,-0.03376355629747721
0.067,-0.03370879748339043
0.068,-0.03365403866930362
0.069,-0.03359927985521684
0.07,-0.033544521041130065
0.07100000000000001,-0.03348976222704329
0.07200000000000001,-0.03343500341295648
0.073,-0.03338024459886971
0.074,-0.033325485784782935
0.075,-0.033270726970696114
0.076,-0.03321596815660935
0.077,-0.033161209342522556
0.078,-0.033106450528435784
0.079,-0.03305169171434899
0.08,-0.032996932900262184
0.081,-0.032942174086175405
0.082,-0.03288741527208863
0.083,-0.032832656458001847
0.084,-0.03277789764391503
0.085,-0.032723138829828274
0.08600000000000001,-0.03266838001574146
0.08700000000000001,-0.03261362120165469
0.088,-0.03255886238756792
0.089,-0.03250410357348113
0.09,-0.03244934475939434
0.091,-0.03239458594530756
0.092,-0.03233982713122076
0.093,-0.032285068317133986
0.094,-0.03223030950304717
0.095,-0.0321755506889604
0.096,-0.032120791874873614
0.097,-0.03206603306078684
0.098,-0.032011274246700035
0.099,-0.031956515432613256
0.1,-0.03190175661852646
0.101,-0.03184699780443967
0.10200000000000001,-0.03179223899035286
0.10300000000000001,-0.03173748017626612
0.10400000000000001,-0.0316827213621793
0.105,-0.03162796254809254
0.106,-0.03157320373400575
0.107,-0.03151844491991897
0.108,-0.03146368610583216
0.109,-0.03140892729174541
0.11,-0.031354168477658595
0.111,-0.03129940966357182
0.112,-0.031244650849485037
0.113,-0.031189892035398223
0.114,-0.031135133221311454
0.115,-0.0310803744072247
0.116,-0.031025615593137885
0.117,-0.030970856779051096
0.11800000000000001,-0.03091609796496432
0.11900000000000001,-0.030861339150877506
0.12,-0.03080658033679073
0.121,-0.030751821522703962
0.122,-0.030697062708617155
0.123,-0.030642303894530362
0.124,-0.030587545080443597
0.125,-0.030532786266356794
0.126,-0.03047802745227001
0.127,-0.030423268638183242
0.128,-0.030368509824096473
0.129,-0.03031375101000965
