lambda,returns
0.0,-0.008764133048568892
0.001,-0.008766773627732219
0.002,-0.008769414206895525
0.003,-0.008772054786058824
0.004,-0.008774695365222157
0.005,-0.008777335944385456
0.006,-0.008779976523548755
0.007,-0.008782617102712095
0.008,-0.008785257681875387
0.009000000000000001,-0.008787898261038693
0.01,-0.008790538840202006
0.011,-0.008793179419365305
0.012,-0.008795819998528624
0.013000000000000001,-0.00879846057769193
0.014,-0.008801101156855229
0.015,-0.008803741736018562
0.016,-0.008806382315181847
0.017,-0.008809022894345181
0.018000000000000002,-0.008811663473508473
0.019,-0.008814304052671786
0.02,-0.008816944631835105
0.021,-0.008819585210998425
0.022,-0.008822225790161717
0.023,-0.008824866369325036
0.024,-0.008827506948488342
0.025,-0.008830147527651662
0.026000000000000002,-0.008832788106814968
0.027,-0.008835428685978267
0.028,-0.0088380692651416
0.029,-0.008840709844304927
0.03,-0.008843350423468191
0.031,-0.008845991002631531
0.032,-0.008848631581794823
0.033,-0.008851272160958143
0.034,-0.008853912740121463
0.035,-0.008856553319284775
0.036000000000000004,-0.008859193898448088
0.037,-0.008861834477611394
0.038,-0.008864475056774679
0.039,-0.008867115635937992
0.04,-0.008869756215101325
0.041,-0.008872396794264617
0.042,-0.008875037373427944
0.043000000000000003,-0.008877677952591256
0.044,-0.008880318531754541
0.045,-0.008882959110917868
0.046,-0.008885599690081167
0.047,-0.008888240269244514
0.048,-0.008890880848407792
0.049,-0.008893521427571112
0.05,-0.008896162006734418
0.051000000000000004,-0.008898802585897737
0.052000000000000005,-0.00890144316506103
0.053,-0.008904083744224349
0.054,-0.008906724323387676
0.055,-0.008909364902550981
0.056,-0.008912005481714301
0.057,-0.008914646060877586
0.058,-0.008917286640040933
0.059000000000000004,-0.008919927219204211
0.06,-0.008922567798367517
0.061,-0.008925208377530823
0.062,-0.008927848956694136
0.063,-0.00893048953585747
0.064,-0.008933130115020768
0.065,-0.008935770694184074
0.066,-0.00893841127334738
0.067,-0.008941051852510713
0.068,-0.008943692431674012
0.069,-0.008946333010837311
0.07,-0.008948973590000617
0.07100000000000001,-0.008951614169163943
0.07200000000000001,-0.00895425474832725
0.073,-0.008956895327490576
0.074,-0.008959535906653854
0.075,-0.00896217648581718
0.076,-0.008964817064980493
0.077,-0.008967457644143799
0.078,-0.00897009822330709
0.079,-0.00897273880247041
0.08,-0.008975379381633723
0.081,-0.00897801996079707
0.082,-0.008980660539960356
0.083,-0.008983301119123668
0.084,-0.008985941698286988
0.085,-0.00898858227745028
0.08600000000000001,-0.008991222856613586
0.08700000000000001,-0.008993863435776905
0.088,-0.008996504014940218
0.089,-0.008999144594103538
0.09,-0.009001785173266816
0.091,-0.009004425752430142
0.092,-0.009007066331593448
0.093,-0.009009706910756782
0.094,-0.009012347489920074
0.095,-0.009014988069083393
0.096,-0.009017628648246692
0.097,-0.009020269227410019
0.098,-0.009022909806573318
0.099,-0.009025550385736637
0.1,-0.009028190964899943
0.101,-0.009030831544063221
0.10200000000000001,-0.009033472123226562
0.10300000000000001,-0.009036112702389888
0.10400000000000001,-0.009038753281553166
0.105,-0.009041393860716493
0.106,-0.009044034439879813
0.107,-0.009046675019043098
0.108,-0.009049315598206431
0.109,-0.009051956177369737
0.11,-0.00905459675653304
0.111,-0.009057237335696383
