lambda,returns
0.0,-0.02128354937181192
0.001,-0.021260978735035924
0.002,-0.021238408098259946
0.003,-0.0212158374614839
0.004,-0.02119326682470794
0.005,-0.021170696187931926
0.006,-0.02114812555115593
0.007,-0.02112555491437991
0.008,-0.02110298427760393
0.009000000000000001,-0.021080413640827904
0.01,-0.021057843004051925
0.011,-0.021035272367275926
0.012,-0.021012701730499916
0.013000000000000001,-0.02099013109372391
0.014,-0.02096756045694792
0.015,-0.020944989820171938
0.016,-0.020922419183395925
0.017,-0.020899848546619925
0.018000000000000002,-0.02087727790984391
0.019,-0.020854707273067916
0.02,-0.020832136636291902
0.021,-0.020809565999515917
0.022,-0.020786995362739938
0.023,-0.020764424725963914
0.024,-0.02074185408918792
0.025,-0.02071928345241191
0.026000000000000002,-0.020696712815635922
0.027,-0.020674142178859923
0.028,-0.02065157154208392
0.029,-0.020629000905307913
0.03,-0.02060643026853191
0.031,-0.020583859631755935
0.032,-0.020561288994979925
0.033,-0.020538718358203933
0.034,-0.02051614772142794
0.035,-0.020493577084651927
0.036000000000000004,-0.0204710064478759
0.037,-0.02044843581109992
0.038,-0.02042586517432392
0.039,-0.02040329453754793
0.04,-0.020380723900771926
0.041,-0.020358153263995926
0.042,-0.020335582627219906
0.043000000000000003,-0.02031301199044393
0.044,-0.020290441353667935
0.045,-0.020267870716891907
0.046,-0.02024530008011594
0.047,-0.02022272944333993
0.048,-0.020200158806563916
0.049,-0.020177588169787916
0.05,-0.020155017533011924
0.051000000000000004,-0.020132446896235924
0.052000000000000005,-0.0201098762594599
0.053,-0.02008730562268394
0.054,-0.020064734985907922
0.055,-0.020042164349131922
0.056,-0.020019593712355933
0.057,-0.01999702307557992
0.058,-0.019974452438803917
0.059000000000000004,-0.019951881802027907
0.06,-0.019929311165251918
0.061,-0.019906740528475943
0.062,-0.01988416989169993
0.063,-0.019861599254923926
0.064,-0.019839028618147923
0.065,-0.019816457981371924
0.066,-0.01979388734459592
0.067,-0.019771316707819925
0.068,-0.019748746071043943
0.069,-0.019726175434267915
0.07,-0.019703604797491933
0.07100000000000001,-0.019681034160715923
0.07200000000000001,-0.01965846352393991
0.073,-0.019635892887163935
0.074,-0.01961332225038793
0.075,-0.019590751613611936
0.076,-0.019568180976835926
0.077,-0.019545610340059912
0.078,-0.019523039703283944
0.079,-0.019500469066507944
0.08,-0.019477898429731914
0.081,-0.01945532779295594
0.082,-0.01943275715617995
0.083,-0.019410186519403936
0.084,-0.019387615882627933
0.085,-0.01936504524585193
0.08600000000000001,-0.019342474609075927
0.08700000000000001,-0.01931990397229992
0.088,-0.01929733333552393
0.089,-0.019274762698747904
0.09,-0.019252192061971936
0.091,-0.019229621425195922
0.092,-0.01920705078841993
0.093,-0.019184480151643948
0.094,-0.019161909514867938
0.095,-0.019139338878091917
0.096,-0.019116768241315925
0.097,-0.019094197604539932
0.098,-0.01907162696776392
0.099,-0.019049056330987916
0.1,-0.019026485694211913
0.101,-0.019003915057435917
0.10200000000000001,-0.018981344420659924
0.10300000000000001,-0.01895877378388392
0.10400000000000001,-0.018936203147107915
0.105,-0.018913632510331933
0.106,-0.018891061873555933
0.107,-0.018868491236779934
0.108,-0.018845920600003903
0.109,-0.018823349963227924
0.11,-0.01880077932645192
0.111,-0.018778208689675915
0.112,-0.018755638052899933
0.113,-0.018733067416123912
0.114,-0.018710496779347927
0.115,-0.018687926142571927
0.116,-0.018665355505795938
0.117,-0.018642784869019914
0.11800000000000001,-0.018620214232243932
0.11900000000000001,-0.018597643595467925
0.12,-0.018575072958691936
0.121,-0.018552502321915933
0.122,-0.01852993168513992
0.123,-0.018507361048363924
0.124,-0.018484790411587914
0.125,-0.018462219774811925
0.126,-0.018439649138035946
0.127,-0.018417078501259933
0.128,-0.01839450786448393
0.129,-0.01837193722770793
0.13,-0.018349366590931924
0.131,-0.01832679595415592
0.132,-0.018304225317379914
0.133,-0.01828165468060393
0.134,-0.01825908404382793
0.135,-0.01823651340705194
0.136,-0.018213942770275948
0.137,-0.018191372133499927
0.138,-0.01816880149672393
0.139,-0.018146230859947945
0.14,-0.018123660223171932
0.14100000000000001,-0.018101089586395915
0.14200000000000002,-0.018078518949619954
0.14300000000000002,-0.018055948312843916
0.14400000000000002,-0.018033377676067924
0.145,-0.018010807039291924
0.146,-0.01798823640251592
0.147,-0.01796566576573993
0.148,-0.017943095128963922
0.149,-0.017920524492187926
0.15,-0.01789795385541192
0.151,-0.017875383218635923
0.152,-0.01785281258185992
0.153,-0.017830241945083918
0.154,-0.017807671308307932
0.155,-0.01778510067153194
0.156,-0.017762530034755926
0.157,-0.017739959397979926
0.158,-0.017717388761203923
0.159,-0.017694818124427927
0.16,-0.017672247487651917
0.161,-0.017649676850875932
0.162,-0.01762710621409991
0.163,-0.01760453557732392
0.164,-0.017581964940547916
0.165,-0.017559394303771913
0.166,-0.017536823666995917
0.167,-0.017514253030219928
0.168,-0.01749168239344392
0.169,-0.017469111756667922
0.17,-0.01744654111989192
0.171,-0.01742397048311592
0.17200000000000001,-0.01740139984633991
0.17300000000000001,-0.01737882920956393
0.17400000000000002,-0.017356258572787928
0.17500000000000002,-0.01733368793601192
0.176,-0.01731111729923593
0.177,-0.01728854666245994
0.178,-0.017265976025683936
0.179,-0.01724340538890791
0.18,-0.01722083475213193
0.181,-0.017198264115355907
0.182,-0.01717569347857993
0.183,-0.017153122841803915
0.184,-0.01713055220502793
0.185,-0.017107981568251933
0.186,-0.017085410931475937
0.187,-0.01706284029469992
0.188,-0.01704026965792394
0.189,-0.01701769902114793
0.19,-0.016995128384371914
0.191,-0.016972557747595932
0.192,-0.016949987110819936
0.193,-0.016927416474043916
0.194,-0.016904845837267934
0.195,-0.016882275200491924
0.196,-0.01685970456371594
0.197,-0.016837133926939928
0.198,-0.01681456329016394
0.199,-0.016791992653387922
0.2,-0.016769422016611923
0.201,-0.016746851379835937
0.202,-0.016724280743059938
0.203,-0.016701710106283924
0.20400000000000001,-0.016679139469507928
0.20500000000000002,-0.01665656883273193
0.20600000000000002,-0.016633998195955933
0.20700000000000002,-0.016611427559179926
0.20800000000000002,-0.016588856922403937
0.209,-0.01656628628562793
0.21,-0.01654371564885191
0.211,-0.016521145012075935
0.212,-0.016498574375299925
0.213,-0.01647600373852392
0.214,-0.016453433101747923
0.215,-0.016430862464971933
0.216,-0.016408291828195923
0.217,-0.016385721191419924
0.218,-0.016363150554643935
0.219,-0.016340579917867932
0.22,-0.016318009281091915
0.221,-0.016295438644315936
0.222,-0.01627286800753993
0.223,-0.016250297370763923
0.224,-0.016227726733987927
0.225,-0.016205156097211938
0.226,-0.01618258546043594
0.227,-0.016160014823659925
0.228,-0.01613744418688393
0.229,-0.016114873550107933
0.23,-0.016092302913331934
0.231,-0.016069732276555917
0.232,-0.01604716163977993
0.233,-0.016024591003003928
0.234,-0.016002020366227918
0.23500000000000001,-0.015979449729451922
0.23600000000000002,-0.01595687909267594
0.23700000000000002,-0.015934308455899944
0.23800000000000002,-0.015911737819123924
0.23900000000000002,-0.01588916718234794
0.24,-0.015866596545571928
0.241,-0.015844025908795925
0.242,-0.01582145527201993
0.243,-0.015798884635243926
0.244,-0.01577631399846793
0.245,-0.01575374336169193
0.246,-0.015731172724915938
0.247,-0.015708602088139928
0.248,-0.015686031451363932
0.249,-0.015663460814587922
0.25,-0.01564089017781192
0.251,-0.01561831954103593
0.252,-0.01559574890425993
0.253,-0.015573178267483927
0.254,-0.015550607630707931
0.255,-0.015528036993931939
0.256,-0.015505466357155936
0.257,-0.015482895720379933
0.258,-0.015460325083603933
0.259,-0.015437754446827923
0.26,-0.015415183810051927
0.261,-0.015392613173275928
0.262,-0.015370042536499928
0.263,-0.015347471899723939
0.264,-0.015324901262947936
0.265,-0.015302330626171944
0.266,-0.015279759989395927
0.267,-0.015257189352619927
0.268,-0.015234618715843924
0.269,-0.015212048079067914
0.27,-0.015189477442291936
0.271,-0.015166906805515919
0.272,-0.015144336168739923
0.273,-0.015121765531963937
0.274,-0.01509919489518792
0.275,-0.015076624258411934
0.276,-0.015054053621635918
0.277,-0.015031482984859922
0.278,-0.015008912348083926
0.279,-0.014986341711307954
0.28,-0.014963771074531923
0.281,-0.01494120043775594
0.28200000000000003,-0.014918629800979931
0.28300000000000003,-0.014896059164203938
0.28400000000000003,-0.014873488527427935
0.28500000000000003,-0.014850917890651929
0.28600000000000003,-0.014828347253875933
0.28700000000000003,-0.014805776617099926
0.28800000000000003,-0.014783205980323934
0.289,-0.014760635343547941
0.29,-0.014738064706771924
0.291,-0.014715494069995946
0.292,-0.014692923433219932
0.293,-0.01467035279644393
0.294,-0.014647782159667933
0.295,-0.014625211522891927
0.296,-0.014602640886115945
0.297,-0.014580070249339931
0.298,-0.014557499612563939
0.299,-0.014534928975787943
0.3,-0.014512358339011926
0.301,-0.014489787702235933
0.302,-0.014467217065459923
0.303,-0.01444464642868393
0.304,-0.014422075791907935
0.305,-0.014399505155131928
0.306,-0.014376934518355915
0.307,-0.014354363881579933
0.308,-0.014331793244803923
0.309,-0.014309222608027923
0.31,-0.01428665197125193
0.311,-0.014264081334475927
0.312,-0.014241510697699935
0.313,-0.014218940060923939
0.314,-0.014196369424147932
0.315,-0.014173798787371943
0.316,-0.014151228150595937
0.317,-0.014128657513819948
0.318,-0.014106086877043924
0.319,-0.014083516240267928
0.32,-0.014060945603491921
0.321,-0.014038374966715943
0.322,-0.014015804329939922
0.323,-0.013993233693163937
0.324,-0.01397066305638793
0.325,-0.01394809241961193
0.326,-0.013925521782835924
0.327,-0.013902951146059939
0.328,-0.013880380509283936
0.329,-0.013857809872507933
0.33,-0.01383523923573193
0.331,-0.013812668598955934
0.332,-0.013790097962179927
0.333,-0.013767527325403924
0.334,-0.013744956688627932
0.335,-0.013722386051851925
0.336,-0.013699815415075933
0.337,-0.013677244778299926
0.338,-0.01365467414152393
0.339,-0.013632103504747927
0.34,-0.013609532867971938
0.341,-0.013586962231195935
0.342,-0.013564391594419932
0.343,-0.013541820957643932
0.34400000000000003,-0.013519250320867919
0.34500000000000003,-0.013496679684091937
0.34600000000000003,-0.013474109047315927
0.34700000000000003,-0.013451538410539945
0.34800000000000003,-0.013428967773763938
0.34900000000000003,-0.013406397136987925
0.35000000000000003,-0.013383826500211925
0.35100000000000003,-0.013361255863435933
0.352,-0.013338685226659944
0.353,-0.013316114589883937
0.354,-0.013293543953107941
0.355,-0.013270973316331928
0.356,-0.013248402679555928
0.357,-0.013225832042779936
0.358,-0.01320326140600394
0.359,-0.013180690769227926
0.36,-0.013158120132451934
0.361,-0.013135549495675945
0.362,-0.013112978858899942
0.363,-0.013090408222123932
0.364,-0.01306783758534795
0.365,-0.013045266948571936
0.366,-0.013022696311795926
0.367,-0.013000125675019927
0.368,-0.01297755503824392
0.369,-0.012954984401467931
0.37,-0.012932413764691932
0.371,-0.012909843127915929
0.372,-0.012887272491139936
0.373,-0.012864701854363933
0.374,-0.012842131217587937
0.375,-0.012819560580811941
0.376,-0.012796989944035934
0.377,-0.012774419307259935
0.378,-0.012751848670483935
0.379,-0.012729278033707925
0.38,-0.012706707396931926
0.381,-0.01268413676015593
0.382,-0.012661566123379934
0.383,-0.012638995486603934
0.384,-0.012616424849827935
0.385,-0.012593854213051928
0.386,-0.012571283576275932
0.387,-0.012548712939499936
0.388,-0.012526142302723937
0.389,-0.01250357166594793
0.39,-0.012481001029171924
0.391,-0.012458430392395924
0.392,-0.012435859755619928
0.393,-0.012413289118843929
0.394,-0.01239071848206794
0.395,-0.012368147845291944
0.396,-0.012345577208515934
0.397,-0.012323006571739927
0.398,-0.012300435934963931
0.399,-0.012277865298187935
0.4,-0.012255294661411932
0.401,-0.012232724024635929
0.402,-0.012210153387859926
0.403,-0.01218758275108394
0.404,-0.012165012114307934
0.405,-0.012142441477531931
0.406,-0.012119870840755931
0.40700000000000003,-0.012097300203979932
0.40800000000000003,-0.012074729567203926
0.40900000000000003,-0.012052158930427936
0.41000000000000003,-0.012029588293651916
0.41100000000000003,-0.012007017656875951
0.41200000000000003,-0.011984447020099941
0.41300000000000003,-0.011961876383323935
0.41400000000000003,-0.011939305746547928
0.41500000000000004,-0.011916735109771936
0.41600000000000004,-0.01189416447299593
0.417,-0.01187159383621993
0.418,-0.01184902319944394
0.419,-0.011826452562667927
0.42,-0.011803881925891928
0.421,-0.011781311289115939
0.422,-0.011758740652339936
0.423,-0.011736170015563936
0.424,-0.011713599378787937
0.425,-0.011691028742011934
0.426,-0.011668458105235924
0.427,-0.011645887468459924
0.428,-0.011623316831683942
0.429,-0.011600746194907929
0.43,-0.011578175558131943
0.431,-0.01155560492135593
0.432,-0.011533034284579939
0.433,-0.011510463647803938
0.434,-0.011487893011027945
0.435,-0.01146532237425194
0.436,-0.011442751737475929
0.437,-0.011420181100699929
0.438,-0.01139761046392394
0.439,-0.01137503982714793
0.44,-0.011352469190371941
0.441,-0.011329898553595927
0.442,-0.011307327916819933
0.443,-0.011284757280043928
0.444,-0.011262186643267929
0.445,-0.011239616006491933
0.446,-0.011217045369715945
0.447,-0.011194474732939934
0.448,-0.011171904096163924
0.449,-0.01114933345938793
0.45,-0.01112676282261194
0.451,-0.011104192185835936
0.452,-0.011081621549059936
0.453,-0.011059050912283923
0.454,-0.011036480275507929
0.455,-0.011013909638731927
0.456,-0.010991339001955933
0.457,-0.010968768365179925
0.458,-0.01094619772840393
0.459,-0.010923627091627926
0.46,-0.010901056454851923
0.461,-0.010878485818075934
0.462,-0.01085591518129993
0.463,-0.010833344544523938
0.464,-0.010810773907747937
0.465,-0.010788203270971937
0.466,-0.010765632634195929
0.467,-0.010743061997419933
0.468,-0.010720491360643935
0.46900000000000003,-0.010697920723867934
0.47000000000000003,-0.010675350087091928
0.47100000000000003,-0.010652779450315937
0.47200000000000003,-0.010630208813539935
0.47300000000000003,-0.010607638176763941
0.47400000000000003,-0.010585067539987924
0.47500000000000003,-0.010562496903211923
0.47600000000000003,-0.010539926266435927
0.47700000000000004,-0.010517355629659934
0.47800000000000004,-0.010494784992883921
0.47900000000000004,-0.010472214356107935
0.48,-0.010449643719331941
0.481,-0.010427073082555933
0.482,-0.010404502445779944
0.483,-0.010381931809003948
0.484,-0.01035936117222793
0.485,-0.010336790535451933
0.486,-0.010314219898675935
0.487,-0.010291649261899936
0.488,-0.01026907862512394
0.489,-0.010246507988347937
0.49,-0.010223937351571939
0.491,-0.010201366714795941
0.492,-0.01017879607801994
0.493,-0.010156225441243928
0.494,-0.010133654804467943
0.495,-0.01011108416769194
0.496,-0.010088513530915926
0.497,-0.010065942894139942
0.498,-0.010043372257363927
0.499,-0.010020801620587931
0.5,-0.009998230983811933
0.501,-0.009975660347035942
0.502,-0.009953089710259945
0.503,-0.009930519073483936
0.504,-0.00990794843670794
0.505,-0.009885377799931934
0.506,-0.009862807163155927
0.507,-0.009840236526379931
0.508,-0.00981766588960393
0.509,-0.009795095252827927
0.51,-0.00977252461605193
0.511,-0.009749953979275944
0.512,-0.009727383342499937
0.513,-0.009704812705723938
0.514,-0.009682242068947935
0.515,-0.009659671432171928
0.516,-0.009637100795395943
0.517,-0.009614530158619948
0.518,-0.00959195952184392
0.519,-0.009569388885067937
0.52,-0.009546818248291929
0.521,-0.009524247611515931
0.522,-0.009501676974739935
0.523,-0.009479106337963939
0.524,-0.009456535701187933
0.525,-0.00943396506441193
0.526,-0.009411394427635927
0.527,-0.00938882379085993
0.528,-0.00936625315408394
0.529,-0.009343682517307933
0.53,-0.009321111880531932
0.531,-0.009298541243755943
0.532,-0.009275970606979938
0.533,-0.009253399970203934
0.534,-0.009230829333427941
0.535,-0.00920825869665194
0.536,-0.009185688059875935
0.537,-0.009163117423099942
0.538,-0.009140546786323932
0.539,-0.009117976149547943
0.54,-0.009095405512771935
0.541,-0.009072834875995948
0.542,-0.009050264239219948
0.543,-0.009027693602443935
0.544,-0.009005122965667942
0.545,-0.008982552328891932
0.546,-0.008959981692115926
0.547,-0.008937411055339926
0.548,-0.008914840418563936
0.549,-0.00889226978178793
0.55,-0.008869699145011938
0.551,-0.008847128508235925
0.552,-0.008824557871459937
0.553,-0.008801987234683948
0.554,-0.00877941659790793
0.555,-0.008756845961131934
0.556,-0.008734275324355932
0.557,-0.008711704687579938
0.558,-0.008689134050803939
0.559,-0.008666563414027927
0.56,-0.008643992777251933
0.561,-0.008621422140475938
0.562,-0.008598851503699937
0.5630000000000001,-0.008576280866923934
0.5640000000000001,-0.008553710230147948
0.5650000000000001,-0.00853113959337194
0.5660000000000001,-0.008508568956595929
0.5670000000000001,-0.008485998319819936
0.5680000000000001,-0.008463427683043933
0.5690000000000001,-0.008440857046267937
0.5700000000000001,-0.008418286409491944
0.5710000000000001,-0.00839571577271594
0.5720000000000001,-0.008373145135939938
0.5730000000000001,-0.008350574499163937
0.5740000000000001,-0.008328003862387946
0.5750000000000001,-0.008305433225611933
0.5760000000000001,-0.008282862588835926
0.577,-0.008260291952059939
0.578,-0.008237721315283941
0.579,-0.008215150678507928
0.58,-0.008192580041731937
0.581,-0.008170009404955943
0.582,-0.008147438768179936
0.583,-0.00812486813140394
0.584,-0.008102297494627942
0.585,-0.008079726857851927
0.586,-0.008057156221075938
0.587,-0.008034585584299937
0.588,-0.008012014947523944
0.589,-0.007989444310747938
0.59,-0.007966873673971938
0.591,-0.007944303037195942
0.592,-0.007921732400419936
0.593,-0.007899161763643945
0.594,-0.007876591126867945
0.595,-0.007854020490091934
0.596,-0.007831449853315943
0.597,-0.007808879216539938
0.598,-0.007786308579763951
0.599,-0.0077637379429879375
0.6,-0.00774116730621194
0.601,-0.007718596669435942
0.602,-0.007696026032659942
0.603,-0.007673455395883946
0.604,-0.00765088475910794
0.605,-0.007628314122331933
0.606,-0.0076057434855559426
0.607,-0.007583172848779938
0.608,-0.007560602212003933
0.609,-0.007538031575227946
0.61,-0.007515460938451932
0.611,-0.007492890301675945
0.612,-0.007470319664899933
0.613,-0.007447749028123944
0.614,-0.007425178391347934
0.615,-0.00740260775457194
0.616,-0.0073800371177959335
0.617,-0.007357466481019936
0.618,-0.007334895844243943
0.619,-0.00731232520746793
0.62,-0.007289754570691937
0.621,-0.007267183933915936
0.622,-0.007244613297139938
0.623,-0.007222042660363949
0.624,-0.007199472023587936
0.625,-0.007176901386811936
0.626,-0.007154330750035942
0.627,-0.007131760113259937
0.628,-0.0071091894764839444
0.629,-0.007086618839707943
0.63,-0.0070640482029319385
0.631,-0.0070414775661559355
0.632,-0.007018906929379939
0.633,-0.0069963362926039364
0.634,-0.00697376565582794
0.635,-0.006951195019051941
0.636,-0.006928624382275933
0.637,-0.006906053745499935
0.638,-0.00688348310872393
0.639,-0.006860912471947936
0.64,-0.006838341835171928
0.641,-0.006815771198395937
0.642,-0.006793200561619944
0.643,-0.006770629924843934
0.644,-0.006748059288067938
0.645,-0.006725488651291939
0.646,-0.006702918014515944
0.647,-0.006680347377739933
0.648,-0.006657776740963947
0.649,-0.006635206104187944
0.65,-0.006612635467411941
0.651,-0.006590064830635935
0.652,-0.00656749419385994
0.653,-0.006544923557083936
0.654,-0.006522352920307936
0.655,-0.006499782283531938
0.656,-0.0064772116467559405
0.657,-0.0064546410099799445
0.658,-0.006432070373203947
0.659,-0.006409499736427935
0.66,-0.006386929099651941
0.661,-0.006364358462875934
0.662,-0.006341787826099931
0.663,-0.006319217189323932
0.664,-0.006296646552547941
0.665,-0.006274075915771936
0.666,-0.006251505278995938
0.667,-0.006228934642219937
0.668,-0.006206364005443936
0.669,-0.00618379336866794
0.67,-0.00616122273189194
0.671,-0.006138652095115937
0.672,-0.006116081458339938
0.673,-0.006093510821563937
0.674,-0.006070940184787942
0.675,-0.006048369548011943
0.676,-0.0060257989112359415
0.677,-0.006003228274459947
0.678,-0.0059806576376839355
0.679,-0.005958087000907943
0.68,-0.00593551636413194
0.681,-0.005912945727355935
0.682,-0.005890375090579943
0.683,-0.005867804453803936
0.684,-0.005845233817027933
0.685,-0.005822663180251935
0.686,-0.005800092543475934
0.687,-0.005777521906699938
0.6880000000000001,-0.005754951269923939
0.6890000000000001,-0.005732380633147946
0.6900000000000001,-0.005709809996371945
0.6910000000000001,-0.00568723935959594
0.6920000000000001,-0.005664668722819939
0.6930000000000001,-0.005642098086043934
0.6940000000000001,-0.005619527449267938
0.6950000000000001,-0.0055969568124919385
0.6960000000000001,-0.005574386175715939
0.6970000000000001,-0.005551815538939941
0.6980000000000001,-0.005529244902163933
0.6990000000000001,-0.00550667426538794
0.7000000000000001,-0.005484103628611943
0.7010000000000001,-0.005461532991835936
0.7020000000000001,-0.005438962355059942
0.7030000000000001,-0.005416391718283937
0.704,-0.0053938210815079445
0.705,-0.00537125044473194
0.706,-0.005348679807955949
0.707,-0.005326109171179948
0.708,-0.005303538534403945
0.709,-0.005280967897627945
0.71,-0.005258397260851932
0.711,-0.005235826624075946
0.712,-0.005213255987299941
0.713,-0.005190685350523933
0.714,-0.005168114713747944
0.715,-0.005145544076971939
0.716,-0.005122973440195947
0.717,-0.005100402803419947
0.718,-0.005077832166643939
0.719,-0.0050552615298679465
0.72,-0.005032690893091945
0.721,-0.005010120256315935
0.722,-0.0049875496195399376
0.723,-0.004964978982763954
0.724,-0.00494240834598793
0.725,-0.004919837709211941
0.726,-0.004897267072435938
0.727,-0.004874696435659938
0.728,-0.0048521257988839404
0.729,-0.004829555162107941
0.73,-0.00480698452533194
0.731,-0.004784413888555937
0.732,-0.004761843251779939
0.733,-0.004739272615003939
0.734,-0.00471670197822794
0.735,-0.004694131341451939
0.736,-0.004671560704675944
0.737,-0.0046489900678999396
